taxa,Tissue_type,Site_Abbrev,Box,Collection_date,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA,matrix_id,site_matrix
Bolus,whole,BS,984,6/4/10,0.108874751,0,0.736833229,0.286496325,0.189702177,0,0.620693248,0.281484714,0.075369695,14.4456825,3.106215947,1.775967689,0.060124692,0,9.638391873,0.199962281,9.4559481,12.57103143,0,10.22102822,0.898977862,0.577530244,0.338244284,0.083855776,6.498394515,0,1.171101772,0.761334072,0.588909569,0.051765187,0.427429029,0,0.49799221,3.809923516,0,0,0.356468391,10.63839256,0,1.485067216,0,1.367531311,0.384801579,20.55821395,16.52097822,29.92848233,25.83062752,37.95241612,93.71152597,bolus,BS _bolus
Bolus,whole,BS,803,6/9/10,0.180198957,0,3.016431838,0.263191908,0.109369892,0.291921552,0.333232343,0.08713546,0,16.89128688,20.40819999,0.319058044,0.067374619,0,3.543370807,0.097856652,17.22325235,2.218867852,0,7.906894143,0.331695187,0.321039141,0.08161174,0.02660377,3.311584639,0,0.973946135,0.070286665,0.208386955,0.019910472,0.141690726,0,0,2.699584432,0,0.073341359,0.194166303,5.738192271,0,0.361276394,0,0.15764281,0.114382873,10.29574873,11.43048484,25.47752457,40.3483139,21.95714668,87.78298516,bolus,BS _bolus
Bolus,whole,BS,983,6/9/10,0.09990015,0.043555569,3.477958985,0.402706694,0.174526124,0.146960932,0.25672697,0.039676201,0,11.22147972,7.515027401,0.821254019,0.049356129,0,5.012366106,0.110408682,9.168750382,5.435889223,0,8.669985514,0.496832146,0.292310429,0.128940941,0.057307636,5.401974559,0,0,0.08874179,0.195859294,0.026437596,0.11881505,0,0.088881717,2.524816107,0,0,0.209086632,8.940837657,0,0.856630243,0,0.178293228,0.17151275,14.78149991,12.46255734,22.45192861,22.5632852,27.40859277,72.42380657,bolus,BS _bolus
Bolus,whole,BS,986,6/9/10,0,0,0.328725818,0.063489506,0.041250226,0,0.21584312,0.078126894,0,7.849825376,1.098670914,1.315709453,0.023115426,0,7.063979199,0.251729224,6.120229273,6.366575401,0,5.898763999,0.576274761,0.330570939,0.23522962,0,5.551738565,0,0.644368498,0.627851605,0.530333585,0.037189767,0.295073636,0.092596011,0.428576724,2.874034213,0,0,0.318323311,8.747721564,0,1.048017445,0,0.584330672,0.373254626,16.32999065,10.44646023,18.38188125,14.16503044,27.46460768,60.01151937,bolus,BS _bolus
Bolus,whole,BS,810,6/15/10,0.301021035,0,2.314962618,0.306132596,0.088162696,0.13872987,0.290444615,0.09485807,0,21.80092082,6.562007678,0.729789244,0.059491888,0,6.840117783,0.140096059,21.64921622,10.67957125,0,15.13202375,0.638424148,0.482122789,0.321542207,0.158188306,5.661117228,0,1.228226533,0.193334549,0.335431336,0.047475154,0.271622063,0,0.172070017,2.788596865,0,0,0.370761436,9.811963345,0,0.663549246,0,0.301677883,0.246884632,17.42193964,19.33791471,34.1110264,39.64935159,37.06015594,110.8205339,bolus,BS _bolus
Bolus,whole,BS,816,6/17/10,0.123241711,0.051258475,2.415300263,0.873135818,0.961319443,0.087868216,0.388940576,0.149760153,0,11.24189715,6.846021222,0.493889974,0.137577434,0,5.453533055,0.102823045,9.754164959,11.54667506,0,9.347448986,0.448163971,0.388181927,0.178561197,0.391577772,5.805412754,0,1.70883904,0.063958705,0.180740764,0.022159201,0.086026626,0,0.123569048,0.902705194,0,0,0.18535658,7.334651767,0,0.362180726,0,0.209039067,0.102396629,15.2839083,11.08654346,22.96653793,28.90769147,26.5941471,78.4683765,bolus,BS _bolus
Bolus,whole,BS,982,6/17/10,0.18893208,0,1.419262207,0.32549595,0.065198944,0.099609695,0.302288544,0.088843571,0,21.71237953,7.042994261,0.861988045,0.06919469,0,6.682048507,0.165524294,20.54327331,7.880301549,0,10.66196187,0.534489502,0.409702058,0.294860194,0,7.927893589,0,1.791462301,0.231215012,0.292389209,0.119808153,0.225553984,0.130829594,0.183961894,2.516558089,0,0.146737515,0.374871756,8.96227469,0,0.728745966,0,0.339361203,0.21225785,19.41721153,14.54252197,32.84818784,36.1573929,34.52668887,103.5322696,bolus,BS _bolus
Bolus,whole,BS,802,6/18/10,0.077389434,0.032476239,0.824893361,0.184722749,0.109401731,0.053452577,0.200272352,0.075558928,0,10.30620999,4.992788633,0.349709368,0.053546764,0,3.493045488,0.07800117,11.63900169,2.326446359,0,7.733757602,0.279435547,0.384142672,0.095914895,0.059859823,5.098483311,0,0.663162777,0.076614669,0.14121115,0.039433102,0.083250247,0.047574785,0.048519617,1.116493232,0,0.053637837,0.150016119,4.176945718,0,0.311345597,0,0.130081555,0.123784371,10.24097735,9.628989349,16.22434245,19.29303993,20.09319907,55.61058146,bolus,BS _bolus
Bolus,whole,BS,806,6/18/10,0.097833474,0.055866445,0.97626383,0.222914698,0.108945432,0.053622584,0.417505135,0.115899019,0,15.89202995,3.83941962,0.632723923,0.056428011,0,6.810008321,0.103880362,16.39428661,8.46503717,0,10.08984091,0.507512485,0.376496354,0.368792849,0.127707953,5.073367094,0,0.768903385,0.148543868,0.276752771,0.058293122,0.176477366,0.079496914,0.172545883,2.231192402,0,0,0.215507108,7.298843741,0.157513172,1.011473365,0,1.089890152,0.121083654,14.52463391,13.88548039,26.32976259,29.58975723,28.6733793,84.59289912,bolus,BS _bolus
Bolus,whole,EN,935,6/1/10,1.255825133,0.066452055,0.809289577,0.582441021,0.267082075,0.058423679,0.268315438,0.172972638,0,7.940980546,4.727094277,0.832708428,0.236552198,0,4.726306265,0.076547597,7.660639207,5.37212177,0,8.026487573,0.419072943,0.394847171,0.122217515,0.026189298,7.933276961,0,0.810488394,0.117701069,0.240447773,0.026445594,0.137602777,0,0.142261316,2.290947331,0,0,0.237560259,5.17732039,0,0.498111814,0,0.381666164,0.12431369,14.56932691,11.34799667,17.81945415,18.04323334,26.29802244,62.16070994,bolus,EN _bolus
