taxa,Tissue_type,Comment,Site,Site_Abbrev,Box,Chick,Collection_date,Age,size_g_or_mm,Scientific_name,CryoBox,vial,Volume_mL,vss63,FA_ID,C6_0,C8_0,C10_0,C11_0,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA,matrix_id,site_matrix
Tree_Swallow,portion,.,Emiquon North,EN,935,.,6/6/10,0,22.6,Tachycineta bicolor,2,,,,22,0,0,0,0,0.266022911,0,1.490256136,0.27738525,0.046661831,0.078092669,0.21886752,0,0,37.33639346,1.791180597,1.086235067,0,0,24.13130028,0.161543743,6.3607023,5.829742399,0,6.727239982,0.297172746,0.14984536,0.213068981,0,2.240415533,0,0,0.318875704,0.258216995,0,0.934517193,0,0.376284466,12.35478072,0.192988368,0,0.179599021,4.54306966,0.092664702,1.330625639,0,7.236127838,5.785358532,20.18125603,21.4970089,65.78109958,14.52699539,41.99714063,122.3052356,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,937,.,6/6/10,0,23.3,Tachycineta bicolor,2,,,,23,0,0,0,0,0.894514228,0.093837067,1.863077221,0.315252794,0.105226491,0.121831501,0.302217608,0,0,40.96180385,2.457862555,1.317753541,0,0.091268133,24.08998716,0.188851828,9.225253708,6.605692497,0,8.564354737,0.476982252,0.203705426,0.243900359,0,3.483442351,0,0.282220831,0.348445764,0.316468416,0,0.80912534,0,0.430978256,11.34144705,0,0,0.254709533,4.772361079,0.160575443,1.239712597,0,8.087107375,4.793226119,21.84933601,22.15834515,70.99183016,19.09523602,44.35612693,134.4431931,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,933,.,6/8/10,0,21.4,Tachycineta bicolor,2,,,,24,0,0,0,0,0.262740173,0.097605594,1.525775551,0.313323511,0.076693191,0.10833441,0.286588878,0,0,33.38316,1.504505601,1.1142966,0,0,20.60160693,0.188275735,5.98377352,5.678647784,0,6.555569631,0.332329096,0.187506838,0.222115694,0,2.377337285,0,0.263582163,0.327265431,0.30770877,0,0.960516726,0,0.390601741,11.82847736,0,0,0.261024978,4.209025192,0.16365586,1.227719989,0,8.216859923,5.340088997,20.7974953,20.75979054,58.56285327,13.8493086,41.88455128,114.2967132,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,922,.,6/10/10,0,22.8,Tachycineta bicolor,2,,,,3,0,0,0,0,0.117792262,0,0.809908371,0.134904733,0.050528912,0,0.171229737,0,0,27.20765349,0.922447673,0.860577841,0,0,19.20067402,0.16428647,4.771176685,3.777380619,0,6.151856655,0.243047508,0.137416443,0.150973313,0,1.483178807,0,0,0.291619514,0.249818124,0,0.853866142,0,0.313005802,10.83855976,0,0,0,3.278650319,0,1.045275121,0,5.179261998,5.409645796,15.66374272,19.02697412,49.04613499,9.78626476,34.98233636,93.81473611,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,928,a,6/23/10,0,20.2,Tachycineta bicolor,2,,,,25,0,0,0,0,0.312012269,0,0.568900134,0.05660999,0,0,0.141831006,0.03096167,0,16.67207854,0.656689344,0.662810354,0,0,14.63808196,0.122830385,4.147539401,3.341397785,0,6.060948918,0.273404723,0.142850503,0.168434337,0,1.393784285,0,0,0.315622015,0.309114685,0.036833405,0.814791168,0.110004413,0.419291881,12.77426928,0,0,0.26780927,1.986048524,0.159392039,1.17100702,0,4.470467635,5.368776084,13.63836841,20.96386689,33.9336146,8.706287703,34.95469071,77.59459301,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,928,b,6/24/10,0,18.4,Tachycineta bicolor,2,,,,26,0,0,0,0,0.218718897,0,0.582501841,0.062528628,0,0,0.160735141,0.054272483,0,19.52097826,0.639230961,0.847458827,0.022648445,0,17.40866051,0.114027753,5.167817193,4.456348,0,7.643134084,0.285524288,0.145785263,0.178264835,0,1.379739546,0,0,0.364636894,0.314770798,0.041731872,0.800283645,0,0.424399537,13.93487437,0,0,0.25053258,2.492721772,0.155479037,1.208457111,0,5.407073029,5.754196192,15.45813008,23.73253447,39.70668226,10.71116778,39.61968175,90.03753179,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,931,a,6/26/10,0,20.2,Tachycineta bicolor,2,,,,27,0,0,0,0,0.409417173,0,0.743765731,0.19407347,0.024852987,0,0.182132415,0.044330188,0,16.86004468,1.085716546,0.995116812,0.038430981,0,17.34887022,0.133393572,6.151815645,4.28430501,0,6.538080074,0.269872838,0.156063403,0.196733156,0,1.67496496,0,0,0.305214026,0.290281124,0.032768371,1.0970663,0,0.371115347,12.75715885,0,0,0.262062138,1.698783543,0.168996904,1.177282323,0,4.331057388,8.484912068,16.56083331,21.72565095,37.62481977,12.02096083,38.66289763,88.30867823,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,931,b,6/26/10,0,21.8,Tachycineta bicolor,2,,,,28,0,0,0,0,0.316834842,0,0.480346143,0.117332096,0.01926773,0,0.159695283,0.030082211,0,14.59088967,0.711341105,0.952408047,0.020401226,0,17.37236157,0.111168373,5.408098041,3.996684264,0,6.259442527,0.246925677,0.140474022,0.155230638,0,1.209649384,0,0,0.292207154,0.289099589,0.031218077,1.131462664,0,0.333508168,14.58733847,0,0,0.253220602,2.05421794,0.161631815,1.117505109,0,3.980163201,8.510702742,16.08824144,23.23622279,34.82846346,10.54415423,39.66829068,85.04090838,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,923,.,7/6/10,0,23.3,Tachycineta bicolor,2,,,,29,0,0,0,0,0.586818069,0,0.76733657,0.128016249,0.027296043,0,0.168130603,0.039395961,0,17.23079093,0.74346363,1.047853143,0.027298244,0,18.11978411,0.143067986,3.144863842,3.728776678,0,5.971376168,0.305507226,0.175476018,0.173838438,0,1.381870252,0.129898911,0.305399138,0.299281998,0.342549769,0.03765138,1.166697961,0.131283713,0.46053392,14.05774815,0,0,0.315695114,1.559758759,0.21116599,1.218614405,0,5.722809678,7.965280803,17.39565255,22.5899127,39.20907269,8.276460277,40.34979687,87.83532984,Bird,EN _Bird
Tree_Swallow,portion,.,Emiquon North,EN,924,.,7/10/10,0,20.8,Tachycineta bicolor,2,,,,30,0,0,0,0,1.141368744,0,1.49616825,0.246923165,0.027681676,0,0.204140329,0.070600382,0,22.83943346,1.03554256,1.231708956,0.030007496,0,17.72027627,0.142690066,5.326016285,4.431031011,0,6.680850111,0.316417168,0.188715788,0.192822789,0,2.780144467,0.120805566,0.300148641,0.334376793,0.328173022,0.026211508,1.014619574,0.122888958,0.483500455,12.18778563,0,0,0.304074543,1.885896792,0.186837932,1.469964677,0,6.485006854,7.023107593,18.9578048,21.54193578,46.04777154,11.4378296,40.89033638,98.37593751,Bird,EN _Bird
