taxa,Tissue_type,Comment,FA_ID,Site,Site_Abbrev,Box,Chick,Collection_date,size_g_or_mm,Scientific_name,CryoBox,taxa2,matrix_id,PtLipids
Chironomidae,composite,.,135,Emiquon North,EN,,,6/6/10,,,4,Chiro,Chiro,13.19261214
Chironomidae,composite,.,136,Emiquon North,EN,,,6/16/10,,,4,Chiro,Chiro,13.22918548
Chironomidae,composite,.,137,Emiquon North,EN,,,6/20/10,,,4,Chiro,Chiro,12.13615246
Chironomidae,composite,.,139,Emiquon North,EN,,,6/29/10,,,4,Chiro,Chiro,12.6782022
Chironomidae,composite,.,141,Emiquon North,EN,,,7/5/10,,,4,Chiro,Chiro,11.55888785
Chironomidae,composite,.,237,Emiquon North,EN,,,5/26/10,,,1,Chiro,Chiro,12.86828638
Chironomidae,composite,.,239,Emiquon North,EN,,,6/1/10,,,1,Chiro,Chiro,11.89268403
Chironomidae,composite,.,241,Emiquon North,EN,,,6/6/10,,,1,Chiro,Chiro,11.85809973
Chironomidae,composite,.,243,Emiquon North,EN,,,6/16/10,,,1,Chiro,Chiro,12.63269129
Chironomidae,composite,.,245,Emiquon North,EN,,,6/20/10,,,1,Chiro,Chiro,12.18807207
Chironomidae,composite,.,247,Emiquon North,EN,,,6/29/10,,,1,Chiro,Chiro,11.9757528
Chironomidae,composite,.,249,Emiquon North,EN,,,7/5/10,,,1,Chiro,Chiro,11.22383963
Chironomidae,composite,.,143,Emiquon South,ES,,,5/26/10,,,4,Chiro,Chiro,12.73913622
Chironomidae,composite,.,144,Emiquon South,ES,,,6/1/10,,,4,Chiro,Chiro,12.65107382
Chironomidae,composite,.,145,Emiquon South,ES,,,6/6/10,,,4,Chiro,Chiro,15.96225279
Chironomidae,composite,.,146,Emiquon South,ES,,,6/16/10,,,1,Chiro,Chiro,11.38003961
Chironomidae,composite,.,147,Emiquon South,ES,,,6/20/10,,,1,Chiro,Chiro,14.02673688
Chironomidae,composite,.,149,Emiquon South,ES,,,6/29/10,,,1,Chiro,Chiro,12.67496467
