SPEC_ID,BS_ID,TC_ID,TC_ID2,SEX,WELL_NO,FOIL_TEAR DRY WT,SAMPLE DRY WT
225,14,49,,,S-8,0.0302,0.0317
226,14,49,,,S-9,0.0387,0.0413
227,14,50,,,S-10,0.0268,0.027
228,14,50,,,S-11,0.0272,0.0276
229,14,50,,,S-12,0.0303,0.031
230,14,50,,,T-1,0.0255,0.026
231,14,50,,,T-2,0.0297,0.0301
232,14,50,,,T-3,0.0299,0.0304
233,14,50,,,T-4,0.0289,0.0289
234,14,50,,,T-5,0.0327,0.0333
235,14,50,,,T-6,0.0297,0.0301
236,14,50,,,T-7,0.031,0.0314
237,14,50,,,T-8,0.0323,0.0323
238,14,50,,,T-9,0.0297,0.0302
239,14,50,,,T-10,0.0289,0.0295
240,14,50,,,T-11,0.0305,0.0311
241,14,50,,,T-12,0.0294,0.0311
242,14,50,,,U-1,0.0325,0.0339
243,14,50,,,U-2,0.0289,0.0306
244,14,50,,,U-3,0.0312,0.0314
245,14,50,,,U-4,0.0265,0.0267
246,14,50,,,U-5,0.0315,0.0319
247,14,50,,,U-6,0.0224,0.0226
248,14,50,,,U-7,0.0281,0.0285
249,14,50,,,U-8,0.0238,0.0243
250,14,50,,,U-9,0.0331,0.0337
251,14,51,,,U-10,0.0346,0.0351
252,14,51,,,U-11,0.0241,0.0245
253,14,51,,,U-12,0.0296,0.0294
254,14,52,,,V-1,0.0228,0.0232
255,14,53,,,V-2,0.0276,0.0285
256,15,54,,,V-3,0.0286,0.0285
257,15,54,,,V-4,0.0257,0.0258
258,15,54,,,V-5,0.0285,0.0284
259,15,55,,,V-6,0.0303,0.032
260,15,56,,,V-7,0.0269,0.028
261,15,57,,,V-8,0.0267,0.0267
262,15,58,,,V-9,0.0239,0.026
263,16,59,,,V-10,0.0237,0.0251
264,16,59,,,V-11,0.0261,0.0271
265,17,60,,,V-12,0.029,0.0333
266,17,61,,,W-1,0.026,0.0262
267,17,62,,,W-2,0.0238,0.0241
268,17,62,,,W-3,0.0227,0.023
269,17,62,,,W-4,0.0288,0.0289
270,17,62,,,W-5,0.0248,0.0249
271,17,62,,,W-6,0.0233,0.0235
272,17,62,,,W-7,0.0237,0.0242
273,17,62,,,W-8,0.0229,0.0231
274,17,62,,,W-9,0.0236,0.0237
275,17,62,,,W-10,0.0249,0.0249
276,17,62,,,W-11,0.0238,0.024
277,17,62,,,W-12,0.0305,0.0306
278,18,64,,,X-1,0.0239,0.0284
279,18,64,,,X-2,0.0214,0.0243
280,18,64,,,X-3,0.0187,0.0204
281,18,64,,,X-4,0.0229,0.0247
282,18,64,,,X-5,0.0215,0.0258
283,18,64,,,X-6,0.0253,0.0276
284,18,65,,,X-7,0.0235,0.0236
285,18,65,,,X-8,0.0213,0.0223
286,18,65,,,X-9,0.0213,0.0218
287,18,65,,,X-10,0.0225,0.0233
288,18,65,,,X-11,0.0203,0.021
289,18,65,,,X-12,0.0235,0.0245
290,18,65,,,Y-1,0.0243,0.0253
291,18,65,,,Y-2,0.0193,0.02
292,18,65,,,Y-3,0.0228,0.0229
293,18,65,,,Y-4,0.0217,0.0226
294,18,65,,,Y-5,0.023,0.0232
295,18,65,,,Y-6,0.0242,0.0251
296,18,65,,,Y-7,0.0237,0.0245
297,18,65,,,Y-8,0.021,0.0218
298,18,65,,,Y-9,0.0224,0.024
299,19,66,,,Y-10,0.0253,0.0265
300,19,67,,,Y-11,0.0265,0.028
301,19,67,,,Y-12,0.0286,0.0303
302,19,67,,,Z-1,0.0329,0.0383
303,19,67,,,Z-2,0.0231,0.0274
304,19,67,,,Z-3,0.0272,0.0298
305,19,67,,,Z-4,0.0248,0.0276
306,19,67,,,Z-5,0.0287,0.0305
307,19,68,,,Z-6,0.019,0.0211
308,19,68,,,Z-7,0.0201,0.0209
309,19,68,,,Z-8,0.0229,0.0239
310,19,68,,,Z-9,0.0244,0.0252
311,19,68,,,Z-10,0.026,0.0269
312,19,68,,,Z-11,0.0207,0.0219
313,19,68,,,Z-12,0.0197,0.0205
314,19,68,,,II-1,0.0307,0.0313
315,19,68,,,II-2,0.0247,0.0252
316,19,68,,,II-3,0.0392,0.0397
317,19,68,,,II-4,0.0309,0.0318
318,19,68,,,II-5,0.0372,0.0378
319,19,68,,,II-6,0.0238,0.0245
320,19,68,,,II-7,0.0344,0.0346
321,19,68,,,II-8,0.029,0.0292
322,19,68,,,II-9,0.0255,0.0261
323,19,68,,,II-10,0.0329,0.0336
324,19,68,,,II-11,0.0201,0.0209
325,19,68,,,II-12,0.0207,0.0219
326,19,68,,,NN-1,0.0318,0.0328
327,19,68,,,NN-2,0.033,0.0335
328,19,68,,,NN-3,0.0315,0.0321
329,19,68,,,NN-4,0.0314,0.0325
330,19,68,,,NN-5,0.0288,0.0297
331,19,68,,,NN-6,0.0319,0.0328
332,19,68,,,NN-7,0.0313,0.0322
333,19,68,,,NN-8,0.0308,0.0313
334,19,68,,,NN-9,0.0294,0.0299
335,19,68,,,NN-10,0.033,0.0333
336,19,68,,,NN-11,0.0286,0.0294
337,19,68,,,NN-12,0.0311,0.0319
338,19,68,,,KK-1,0.0326,0.0335
339,19,68,,,KK-2,0.032,0.0331
340,19,68,,,KK-3,0.0216,0.0222
341,19,68,,,KK-4,0.0221,0.0227
342,19,68,,,KK-5,0.0265,0.0276
343,19,68,,,KK-6,0.0265,0.0273
344,19,68,,,KK-7,0.0325,0.0332
345,19,68,,,KK-8,0.0265,0.0274
346,19,68,,,KK-9,0.0281,0.0288
347,19,68,,,KK-10,0.0312,0.0319
348,19,68,,,KK-11,0.0254,0.026
349,19,68,,,KK-12,0.0201,0.0211
350,19,68,,,AA-1,0.0263,0.0267
351,19,68,,,AA-2,0.0255,0.0258
352,19,68,,,AA-3,0.0254,0.0256
353,19,68,,,AA-4,0.0286,0.0292
354,19,68,,,AA-5,0.0279,0.0288
355,19,68,,,AA-6,0.0277,0.0286
356,19,68,,,AA-7,0.0282,0.0287
357,19,68,,,AA-8,0.0228,0.0233
358,19,68,,,AA-9,0.0245,0.0245
359,19,68,,,AA-10,0.0236,0.0238
360,20,69,,,AA-11,0.0252,0.0276
361,20,69,,,AA-12,0.0248,0.0288
362,20,69,,,BB-1,0.0258,0.0286
363,20,69,,,BB-2,0.0241,0.0276
364,20,70,,,BB-3,0.021,0.0212
365,20,71,,,BB-4,0.0266,0.0261
366,20,71,,,BB-5,0.024,0.0241
367,20,71,,,BB-6,0.026,0.0258
368,20,71,,,BB-7,0.0248,0.0257
369,20,71,,,BB-8,0.026,0.0261
370,20,71,,,BB-9,0.0217,0.0218
371,20,71,,,BB-10,0.0246,0.0252
372,20,71,,,BB-11,0.0291,0.0291
373,20,71,,,BB-12,0.0305,0.0307
374,20,71,,,CC-1,0.0309,0.0311
375,20,71,,,CC-2,0.0316,0.0315
376,20,71,,,CC-3,0.0287,0.0287
