taxa,Site_Abbrev,Collection_date,Volume_mL,vss63,C6_0,C8_0,C10_0,C11_0,C12_0,C13_0,C14_0,C15_0i,C15ai,C14_1n5,C15_0,C16_0i,C15_1,C16_0,C16_1n7,C17_0,C16_3n4,C17_1,C18_0,C18_1n9t,C18_1n9c,C18_1n7,C18_2n6t,C18_2n6c,C20_0,C18_3n6,C20_1n9,C20_1n7,C18_3n3,C21_0,C18_4n3,C20_2,C22_0,C20_3n9,C20_3n6,C22_1n9,C20_3n3,C20_4n6,C23_0,C22_2,C24_0,C20_5n3,C24_1n9,C22_4n6,C22_5n6,C22_5n3c,C22_6n3,Omega3,Omega6,SAFA,MUFA,PUFA,Total_FA
SES63,BS,6/6/10,305,15.54545455,0,0,0,0,0.181042291,0.17476277,3.775963422,0.530476054,0.120951357,0.152453636,0.446597532,0,0,16.73718407,4.108975695,0.349287285,0,0,2.701654635,0.291397335,3.924360233,1.624154373,0,2.416348101,0.234688308,0.221677095,0.680093887,0,9.690479064,0,8.844022995,0.376918096,0.262059824,0,0.158442991,0.180131388,0.181180217,0.538895159,0,0,0.392528846,3.163478689,0,0.180230976,0,2.352512683,2.369070519,26.60074417,3.515594321,25.9071964,10.96156655,30.49325658,67.36201953
SES63,BS,6/6/10,325,15.54545455,0,0,0,0,0,0,3.541695304,0.48405286,0.100727756,0.156469241,0.406854325,0,0,15.83824027,4.050753357,0.333255924,0,0,2.542965588,0.271142938,3.88468864,1.594333538,0,2.197514754,0.230058759,0.209537431,0.74037033,0,8.727908511,0,7.76899039,0.34345695,0.264253568,0,0.151323206,0.179305387,0.170260338,0.48881212,0,0,0.373394161,2.843246624,0,0.148117823,0,1.155683302,2.182435449,22.84852461,3.195305335,24.11549851,10.87706343,26.3872869,61.37984884
SES63,BS,6/22/10,495,6.6875,0,0,0,0,0.430909404,0.131340699,2.965591786,0.805648571,0.268899934,0.192078409,0.361636591,0,0,9.753119898,4.765704575,0.323987983,0,0,2.673862107,0.214030419,2.644554232,1.499473133,0,1.181434282,0.301589537,0.321792923,0.380130012,0,4.368857754,0,3.697667479,0.210168889,0.346529478,0,0.207357425,0.244862529,0.22093368,0.688744272,0,0,0.492535233,3.800645857,0,0.217541643,0,1.516181035,2.680757271,16.28504308,2.616870545,18.85565122,9.94083331,19.11208251,47.90856704
SES63,BS,6/22/10,450,6.6875,0,0,0,0,0.448152079,0.141947928,2.789624984,0.747828344,0.273611614,0.185659969,0.391049536,0,0,10.44087658,4.658695773,0.394295072,0,0,3.594117823,0.227459993,2.817070899,1.560121826,0,1.264150218,0.352192244,0.340921146,0.388136411,0,4.366793471,0,3.747259332,0.298038856,0.385313195,0,0.209822324,0.251511983,0.21735398,0.723334045,0,0,0.551226869,3.815349135,0,0.262482224,0,2.704517978,2.76410149,17.61537539,2.800709957,20.51023627,10.08865685,20.7141242,51.31301732
SES63,BS,7/7/10,315,13.82857143,0,0,0,0,0.341072902,0,6.643690079,0.494135107,0.156855912,0.183161815,0.416230282,0,0,17.84050937,16.26510684,0.232022233,0,0,2.40283094,0.148616216,4.212503534,1.225692229,0,2.009490158,0.256963666,0.355474131,0.200340986,0,3.642620991,0,2.987646465,0.1602676,0.276883673,0,0.179961849,0.201776714,0,0.542042173,0,0,0.412160475,4.912986746,0,0.183703563,0,0.963662376,1.526348259,14.03326484,3.270671874,29.47335464,22.43719834,17.46420431,69.37475729
SES63,BS,7/7/10,315,13.82857143,0,0,0,0,0.378386901,0,7.07853726,0.557860473,0.183728416,0.193445861,0.475558893,0,0,20.43233722,17.92197312,0.299840275,0,0,3.605484094,0.188965596,4.756938537,1.345175879,0,2.20759035,0.286792859,0.37046876,0.24325001,0,3.913308692,0,3.191272211,0,0,0,0,0.212380418,0,0.586126249,0,0,0.42473292,5.221872198,0,0.20845817,0,0,1.634148059,13.96060116,3.37264353,33.72325931,24.86212942,17.33324469,75.91863342
SES63,EN,5/25/10,1610,1.942857143,0,0,0,0,0.22804644,0,1.057659762,0.306175481,0.137291631,0.144675001,0.347973396,0.08785346,0,7.973543838,0.873943344,0.433885597,0,0,6.090803837,0.493857188,3.485446592,0.803203035,0,0.530677807,0.349561216,0.200885602,0.233677577,0,1.377439339,0,0.908056351,0,0.395120295,0,0,0.46572533,0,0,0,0,0.591257767,0.524444755,0.488987772,0.23030295,0,5.680445418,0.38032047,8.870706333,0.961866359,17.99917272,6.98951584,9.832572691,34.82126125
SES63,EN,5/25/10,1620,1.942857143,0,0,0,0,0.231056554,0,0.867787797,0.311349135,0.123094785,0,0.23954722,0.051063761,0,6.495938003,0.901246884,0.328922238,0,0,5.023578117,0.188599568,1.533609748,0.669780473,0,0.542288293,0.336478471,0.188660781,0.231640604,0,1.471850893,0,0.994684056,0.181083606,0.36997333,0,0,0.49963858,0,0.32793593,0,0,0.594692871,0.670067901,0.580815535,0.258462073,0,6.424038101,0.445386141,10.00602709,1.317347077,14.97348228,4.605331392,11.50445778,31.08327145
SES63,EN,6/7/10,1490,1.152173913,0,0,0,0,0.432341015,0,1.480905237,0.294899259,0.133151404,0,0.386249866,0.09164511,0,12.39037416,1.796727432,0.533768913,0,0,5.478190524,0.543148095,2.944617171,1.152137939,0,1.515570902,0,0.350408543,0.494215501,0,5.316210925,0,4.170330288,0,0,0,0,0.458268288,0.389671902,0.571993709,0,0,0.957225903,1.696911285,0.810822572,0.415243962,0,3.58662688,1.227186299,16.38693758,2.853217117,22.17875139,8.199936999,19.24015469,49.61884309
SES63,EN,6/7/10,1520,1.152173913,0,0,0,0,0.414473324,0,1.495635579,0.243311447,0.105586268,0,0.35237727,0.084816859,0,12.06365334,1.443009921,0.483227224,0,0,5.086698279,0.532332814,2.745558019,0.950654175,0,1.420805874,0,0.316891883,0.481352853,0,4.91772086,0,4.283704728,0,0,0,0,0.431839925,0.359636986,0.582295896,0,0,0.88708045,1.747469331,0.799497562,0.416993111,0,4.931782725,1.357258718,17.59757335,2.736986764,21.21686004,7.384245269,20.33456011,48.93566542
SES63,EN,6/21/10,1410,1.763157895,0,0,0,0,0.33072299,0,1.057258702,0.804398462,0.15986402,0,0.307919843,0.09708441,0,9.488191147,1.267902564,0.426752658,0,0,6.049682298,0.271136721,1.81099253,1.623737235,0,1.222517353,0.442695384,0.275145262,0.542105226,0,3.991003471,0,2.893118505,0.233275799,0,0,0,0.39977638,0.272957551,0.532938661,0,0,0.678177638,1.500704589,0.505755034,0.282477536,0,1.743453242,1.058444711,11.45968207,2.313078812,19.84274755,6.421405689,14.00603668,40.27018992
SES63,EN,6/21/10,1370,1.763157895,0,0,0,0,0.356711247,0,1.122255843,0.653462668,0.12629003,0.200622941,0.331555378,0.073399738,0,8.800572108,1.193021838,0.43980053,0,0,5.797572511,0.276711497,1.920991738,0,0,1.120679872,0.469666157,0.282432605,0.511967095,0,3.123267536,0,2.318562965,0,0,0,0,0.398599716,0,0.366957607,0,0,0.777300466,1.370037424,0.676560452,0.296014825,0,4.409352324,0.910902087,12.13212234,2.066084909,18.94858668,5.178475277,14.19820725,38.3252692
SES63,EN,7/6/10,1260,1.666666667,0,0,0,0,0.363546077,0,1.069548601,0.706188462,0.161776987,0,0.303667389,0.083886531,0.215771542,8.920532923,1.29408929,0.427680968,0,0,10.43454442,0.28737787,1.45779409,0,0,0.635293873,0.587891968,0.350691003,0.315197382,0,1.526707327,0,1.933432833,0,0.579105253,0,0,0.378921282,0.312713715,0.468368267,0,0,0.780445144,1.125562759,0,0.308375958,0,1.7152122,0.789661968,7.403290802,1.762729101,24.41881472,3.949151455,9.166019902,37.53398608
SES63,EN,7/6/10,1240,1.666666667,0,0,0,0,0.348241053,0,1.023206071,0.672093032,0.157235378,0,0.274174626,0.061579808,0,6.324490825,1.174377838,0.342675113,0,0,4.525085303,0.256793191,1.341932002,0,0,0.580706858,0.433741157,0.324846689,0.282349197,0,1.391105496,0,1.766709869,0,0,0,0,0.368831854,0,0.396455665,0,0,0.739825651,1.154612426,0.713449402,0.357326403,0,7.618529474,0.783857598,12.71481486,1.659335614,14.90234802,4.137733484,14.37415048,33.41423198
SES63,ES,5/25/10,1190,2.246575342,0,0,0,0,0,0,0.849975453,0.454382609,0.152562555,0,0.271142994,0.076151654,0,11.15701404,1.55385118,0.370494421,0,0.224141759,5.446035904,0.318651316,5.422209899,1.266691925,0.237946202,1.495536675,0.536079918,0.310435251,0.348531531,0,3.938707691,0.254179649,2.59389889,0.26227065,0.613314715,0,0.248360997,0.381770368,0.248632782,0.433434354,0,0,0.959799974,0.978228778,0.718104343,0.296218194,0,2.679413106,0.518316016,10.95719726,3.021931673,21.14113389,10.23395232,14.24139959,45.6164858
SES63,ES,5/25/10,1100,2.246575342,0,0,0,0,0,0,0.76490358,0.429908061,0.134170978,0,0.266913515,0.069962355,0,10.12839187,1.633573266,0,0,0,3.795494167,0.286897112,5.34739322,1.378910973,0,1.550644639,0.496174976,0.339426634,0.37202967,0,4.03137285,0,2.097258872,0,0.627994676,0,0,0.381579987,0,0.44390123,0,0,0.933264028,0.979115616,0.641222104,0.355573755,0,2.924714006,0.556519935,10.58898128,2.689546258,17.64717821,10.04160633,13.27852754,40.96731208
SES63,ES,6/8/10,1350,1.933333333,0,0,0,0,0,0,0.418900815,0,0,0,0.233967289,0.082255769,0,3.866935065,0.711650836,0.241492478,0,0,1.584037043,0.221832103,1.215470886,0.943192801,0,0.851256509,0.417468977,0.267866189,0.2823457,0,2.164012365,0,2.023213648,0,0.517046883,0,0,0.334794269,0,0.470358679,0,0,0.715505646,1.27991128,0,0.300847681,0,1.057897085,1.262306209,7.787340587,1.890329057,8.077609965,3.709286595,9.677669643,21.4645662
SES63,ES,6/8/10,1340,1.933333333,0,0,0,0,0.344373367,0,1.3725088,0.413110561,0.226198919,0,0.365473402,0.197387822,0,12.72055145,1.11662486,0.996850763,0,0,8.479596712,0.628199756,2.278418827,1.368499651,0,1.128636093,0.495380801,0,0,0,2.591144796,0,2.320395379,0,0,0,0,0,0,0,0,0,0,1.401794589,0,0.431116527,0,0,1.679236083,7.992570847,1.559752619,25.6114326,5.391743095,9.552323466,40.55549916
SES63,ES,6/21/10,1260,3.06097561,0,0,0,0,0.184958287,0,0.322771062,0,0,0,0.13995968,0.057991571,0,5.563444537,0.725979688,0.147869281,0,0,0.91810603,0,1.817091414,0.694792286,0,0.515408388,0.29408611,0.219877636,0.178711508,0,1.185717309,0,4.120972023,0,0.371055256,0,0,0.283600454,0,0.34746383,0,0,0.521361822,2.881047564,0,0.184187548,0,0.543125735,3.430399828,12.16126246,1.266937402,8.521603636,3.700175351,13.42819986,25.64997885
SES63,ES,6/21/10,1280,3.06097561,0,0,0,0,0.16970516,0,0.326982863,0,0,0,0.126972781,0.05498789,0,5.453781832,0.727212058,0.143351514,0,0,0.685967885,0,1.730904535,0.680898749,0,0.431017291,0.266619979,0.210765692,0.163956884,0,1.097184157,0,3.94210836,0,0.338074144,0,0,0.237876933,0,0.289657084,0,0,0.473826688,2.764166029,0,0.197705945,0,0.497847427,3.337018622,11.6383246,1.129146012,8.040270737,3.540849158,12.76747061,24.3485905
SES63,ES,7/6/10,1000,1.5875,0,0,0,0,0,0,0.817812729,0.231549368,0,0,0.360046375,0.753697879,0,5.286490264,0.95368956,0.382576846,0,0,4.76560465,0,1.358436452,0.70889347,0,0.744940442,0,0.426031927,0.444976981,0,1.487146195,0,1.846498614,0,0,0,0,0.538562869,0,0.65505541,0,0,0,1.017652636,0,0.446322705,0,1.276222298,1.036352855,6.663872599,2.272350484,12.59777811,4.004559332,8.936223082,25.53856053
SES63,ES,7/6/10,1000,1.5875,0,0,0,0,0,0,0.691052876,0.198604957,0.079168944,0,0.324081861,0,0,4.485797715,0.953620449,0.34383862,0,0,2.971098441,0,1.333869268,0.688814989,0,0.673396351,0,0.376952578,0.38828566,0,1.505969165,0,1.83038281,0,0,0,0,0.509984874,0,0.647782475,0,0,0,1.07807646,0,0.415949596,0,1.082818446,1.076004713,6.573251594,2.114081,9.093643415,3.87457524,8.687332594,21.65555125
SES63,LL,5/18/10,1500,2.725,0,0,0,0,0.168937984,0,0.630315629,0.432815745,0.139901362,0,0.17304707,0.077175936,0,2.628030362,1.31908098,0.150244255,0,0,0.942512454,0.13830582,0.595337392,0.606991347,0,0.39312497,0,0.20135049,0.208935758,0,1.213816074,0,1.392489665,0.172437327,0.319239883,0,0,0.197635549,0,0.252666324,0,0,0,0.832180604,0,0.184929386,0,0.501152427,0.517851547,4.457490316,1.032071171,5.662220683,3.066286847,5.661998815,14.39050634
SES63,LL,5/18/10,1500,2.725,0,0,0,0,1.661204658,0,5.454341904,3.275491395,1.100094658,0,1.196150715,0.585487972,0,18.93359771,9.788072223,1.079392824,0,0,6.362783927,1.015798714,4.481726448,4.325001962,0,2.944191218,0,1.323665856,1.458657388,0,8.551707568,0,9.701891115,1.188558849,0,0,0,1.407743601,0,1.771019834,0,0,0,5.879201447,0,1.19998932,0,3.686099042,3.726105551,31.54500472,7.238866229,39.64854576,22.47700034,39.9724298,102.0979759
SES63,LL,6/1/10,1500,3.034482759,0,0,0,0,0.18898255,0.092176692,0.89242491,0.407779282,0.129008896,0,0.260301714,0.084043226,0,9.762129984,1.276898817,0.732924534,0,0,2.051766382,0.278933535,1.398685078,1.125361009,0,1.686467145,0.238623378,0.184137575,0.946552668,0,8.104697495,0,6.424817738,0.257446751,0,0,0.163849379,0.195983438,0.193108667,0.339285969,0,0,0.40901751,2.181323607,0,0.183886638,0,1.902731979,1.27921328,20.08589277,2.557626706,15.24917906,5.222414545,22.90096622,43.37255982
SES63,LL,6/1/10,1500,3.034482759,0,0,0,0,0.20168422,0.099620697,1.437822223,0.540298345,0.182815664,0,1.150699073,0.076794899,0,11.80391075,1.559093806,0.588714082,0,0,2.663756019,0.447415371,3.007349631,1.204109211,0,1.823873445,0,0,1.088732794,0,7.83080271,0.320995796,6.201022166,0,1.742442437,0,0,0,0,0,0,0,0,2.155526437,0,0.509321412,0,2.093735279,1.328760958,19.60984755,2.333194856,20.80955421,7.306700813,21.94304241,50.05929743
SES63,LL,6/16/10,1400,1.6125,0,0,0,0,0,0,0.554557684,0.339812107,0.131083589,0,0.263489923,0.072035107,0,2.434170032,1.532962276,0.256528416,0,0,1.097970998,0,0.711831927,0.576327606,0,0.454259063,0,0.304296905,0,0,0.938708434,0,1.116459996,0,0,0,0,0.376144512,0,0.584041663,0,0,0,0.814445264,0,0.309275842,0,0.900155637,0.571688371,4.341457702,1.651873472,5.149647854,3.197266321,5.993331175,14.34024535
SES63,LL,6/16/10,1400,1.6125,0,0,0,0,0,0,0.534689361,0.334010713,0.129883633,0,0.245378741,0.075253261,0,2.370720173,1.488141807,0.251882705,0,0,1.073401815,0,0.675737764,0.609153063,0,0.450742446,0,0.290827519,0.292366925,0,0.985911509,0,1.104070359,0,0,0,0.32024006,0.347636929,0,0.629132367,0,0,0,0.864216545,0,0.337125871,0,0.835305011,0.594756442,4.384259867,2.028068262,5.015220402,3.413036489,6.412328128,14.84058502
SES63,LL,6/29/10,2000,2.820224719,0,0,0,0,0.118074155,0,0.509218876,0.077543149,0.034110554,0,0.135190355,0.024663707,0,2.301938308,1.752146822,0.115927857,0,0,0.614707514,0,0.904485772,0.487163251,0,0.456924562,0,0.148571127,0.128284156,0,0.921675105,0,0.961280027,0.123676429,0.230612728,0,0,0.147594744,0,0.305049943,0,0,0,1.554434423,0,0.137228748,0,0.355583499,0.437186567,4.230159621,1.047774379,4.161987203,3.419674745,5.401610429,12.98327238
SES63,LL,6/29/10,1600,2.820224719,0,0,0,0,0,0,0.369435388,0.048313702,0,0,0.149321213,0.558833626,0,1.960779712,1.253019929,0.377260293,0,0,0.92353856,0,0.749357674,0.352799035,0,0.406358939,0.27440592,0.174535963,0.170395857,0,0.735367971,0,0.843225199,0.163013635,0.342874754,0,0,0.205962252,0,0.300583696,0,0,0,1.202525287,0,0.181857485,0,1.203011495,0.418608678,4.40273863,1.063336083,5.004763168,2.731534747,5.629088348,13.36538626
SES63,SH,5/17/10,1500,4.608695652,0,0,0,0,0.22309109,0,1.450839849,0.126700643,0.107328197,0.130533774,0.245643632,0.03972857,0,5.874470848,3.353550947,1.400743773,0,0,3.596195849,0.3320407,2.742701926,0.589811771,0,1.231605511,0.329990223,0.203925012,0,0,1.063275896,0.285234167,1.746438249,0.256503544,1.650319172,0,0,0,0,0,0,0,0,2.477267996,0,0.288988897,0,1.279029306,0.850891432,7.416902879,1.72451942,15.33028601,7.148639118,9.397925843,31.87685097
SES63,SH,5/17/10,1500,4.608695652,0,0,0,0,0.103931747,0,0.87138462,0.066761951,0.045745905,0,0.121842898,0.024146012,0,2.953442033,2.537709088,0.103664059,0,0,1.135207319,0.083686142,1.046169138,0.35951245,0,0.824098236,0.161522661,0.123294937,0.120331262,0,0.678049698,0,1.458235033,0.10006687,0.198464095,0,0,0.142896382,0,0.159856613,0,0,0.267931504,2.167528393,0,0.110640662,0,0.453924306,0.594117412,5.351854842,1.217890449,6.054044804,4.290304463,6.669812161,17.01416143
SES63,SH,6/2/10,1000,2.678571429,0,0,0,0,0.266438241,0,1.741460099,0.217513032,0.138848945,0.145670054,0.317900828,0.069937309,0,8.460265492,4.873094822,1.069254735,0,0,4.074954844,0.383124596,3.49018202,1.143799719,0,1.533788252,0.39300077,0.267686242,0.34316917,0,1.574099489,0.272322321,2.595000708,0,1.476805317,0,0,0,0,0.388514558,0,0,0.699605485,3.776983269,0,0,0,1.433832234,1.236725495,10.61664119,2.189989052,19.19830742,10.37904038,12.80663025,42.38397804
SES63,SH,6/2/10,1000,2.678571429,0,0,0,0,0,0,0.401802426,0.059066509,0,0,0.197644485,0,0,2.694174938,1.341535791,0.244781586,0,0,1.126933805,0,0.887290284,0.492266602,0,0.433970485,0,0,0.286896044,0,0.733120823,0,1.079512776,0,0,0,0,0.339666672,0,0.338748862,0,0,0,1.08690203,0,0.255818164,0,0.833898681,0.537314442,4.270748752,1.028537511,4.724403749,3.347655392,5.299286264,13.37134541
SES63,SH,6/14/10,800,2.258852259,0,0,0,0,0,0,0.407646703,0,0,0,0,0,0,1.541562728,0.516304982,0,0,0,1.364900699,0,0.653675951,0.148769831,0,0.375851114,0,0,0,0,0.52025179,0,0.893496243,0,0,0,0,0.444116494,0,0.437002706,0,0,0,0.560680081,0,0.378850866,0,1.188030949,0.563520149,3.725979212,1.191704686,3.314110131,1.762867258,4.917683899,9.994661287
SES63,SH,6/14/10,800,2.258852259,0,0,0,0,0.371478139,0,1.012811893,0.185094676,0.183264075,0,5.760953405,0.190193993,0,11.49242188,0.967953309,6.797390077,0,0,6.802931245,0.487147365,2.214345367,0.528394724,0,0.392953923,0.53903877,0,0.397409386,0,0.802849695,0,0.990750984,0.457513721,0.877292197,0,0,0,0,0,0,0,0,0.757026717,0.976184018,0.580572342,0,17.71830351,0.640943724,20.90987463,0.973526264,34.21287035,5.57143417,22.34091461,62.12521913
SES63,SH,6/28/10,800,4.655172414,0,0,0,0,0,0,0.229880726,0,0,0,0.128812928,0.247160381,0,1.170276582,0.405542498,0.144904981,0,0,0.901967858,0,0.392563256,0.145653624,0,0.197917959,0,0,0,0,0.35194743,0,0.42101651,0,0,0,0,0.209675057,0,0.20681248,0,0,0,0.324920027,0,0.185317006,0,0.525804762,0.264891957,1.888580686,0.590047446,2.823003454,1.153434436,2.478628131,6.455066021
SES63,SH,6/28/10,800,4.655172414,0,0,0,0,0,0,0.236867707,0,0,0,0.129670548,0.255933248,0,1.039860171,0.354315952,0,0,0,0.746433233,0,0.392196344,0.120134681,0,0.196960144,0,0,0,0,0.333715266,0,0.412494287,0,0,0,0,0.214730494,0,0.20574328,0,0,0,0.303318239,0,0.181732179,0,0.523857721,0,1.573385514,0.584435602,2.408764906,1.081377472,2.157821116,5.647963493
